date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:25:10	36500/36500	------	200	untouched ('')	font/woff2	etag:%2241d9887142255ad7c84efd7d19b0e3cf%22	https://www.markjsmith.com/_hcms/googlefonts/Roboto/regular.woff2	C:/Mes%20Sites%20Web/mjs2/www.markjsmith.com/_hcms/googlefonts/Roboto/regular.woff2	(from https://www.markjsmith.com/en/home)
20:25:10	47164/47164	------	200	untouched ('')	font/woff	etag:%22628ed29125856b4d65359da76b0cddc7%22	https://www.markjsmith.com/_hcms/googlefonts/Roboto/regular.woff	C:/Mes%20Sites%20Web/mjs2/www.markjsmith.com/_hcms/googlefonts/Roboto/regular.woff	(from https://www.markjsmith.com/en/home)
20:25:10	37096/37096	------	200	untouched ('')	font/woff2	etag:%22964bfe0cbdca59aa2c00fd05bd620af8%22	https://www.markjsmith.com/_hcms/googlefonts/Roboto/700.woff2	C:/Mes%20Sites%20Web/mjs2/www.markjsmith.com/_hcms/googlefonts/Roboto/700.woff2	(from https://www.markjsmith.com/en/home)
20:25:10	0/0	------	307	error ('Temporary%20Redirect')	text/html	date:Tue,%2026%20Nov%202024%2014:39:24%20GMT	https://www.markjsmith.com/blog?hsLang=en	C:/Mes%20Sites%20Web/mjs2/www.markjsmith.com/blog.48c6eb.delayed	(from https://www.markjsmith.com/en/home)
20:25:10	48228/48228	------	200	untouched ('')	font/woff	etag:%228dc0647ebd342270ebe8917593e6e3dd%22	https://www.markjsmith.com/_hcms/googlefonts/Roboto/700.woff	C:/Mes%20Sites%20Web/mjs2/www.markjsmith.com/_hcms/googlefonts/Roboto/700.woff	(from https://www.markjsmith.com/en/home)
20:25:10	9584/9584	------	200	untouched ('')	font/woff2	etag:%228a3120a94e363ce8867bee0f08d89510%22	https://www.markjsmith.com/_hcms/googlefonts/Abel/regular.woff2	C:/Mes%20Sites%20Web/mjs2/www.markjsmith.com/_hcms/googlefonts/Abel/regular.woff2	(from https://www.markjsmith.com/en/home)
20:25:10	12528/12528	------	200	untouched ('')	font/woff	etag:%22197bbd38300e29b1820065d2d9231994%22	https://www.markjsmith.com/_hcms/googlefonts/Abel/regular.woff	C:/Mes%20Sites%20Web/mjs2/www.markjsmith.com/_hcms/googlefonts/Abel/regular.woff	(from https://www.markjsmith.com/en/home)
20:25:10	109552/109552	------	200	untouched ('')	font/woff2	etag:%22a6aec64e93fe7df0359c689b2c552332%22	https://www.markjsmith.com/_hcms/googlefonts/Inter_Tight/800.woff2	C:/Mes%20Sites%20Web/mjs2/www.markjsmith.com/_hcms/googlefonts/Inter_Tight/800.woff2	(from https://www.markjsmith.com/en/home)
20:25:10	141412/141412	------	200	untouched ('')	font/woff	etag:%224125326f93cf1a35b0704247c24fa6b6%22	https://www.markjsmith.com/_hcms/googlefonts/Inter_Tight/800.woff	C:/Mes%20Sites%20Web/mjs2/www.markjsmith.com/_hcms/googlefonts/Inter_Tight/800.woff	(from https://www.markjsmith.com/en/home)
20:25:10	108148/108148	------	200	untouched ('')	font/woff2	etag:%22f0fc1cc5bff28b9829fdea84f3d89838%22	https://www.markjsmith.com/_hcms/googlefonts/Inter_Tight/300.woff2	C:/Mes%20Sites%20Web/mjs2/www.markjsmith.com/_hcms/googlefonts/Inter_Tight/300.woff2	(from https://www.markjsmith.com/en/home)
20:25:10	139408/139408	------	200	untouched ('')	font/woff	etag:%2234dbe7cab59d87cfd0b2a4d0a4da4adb%22	https://www.markjsmith.com/_hcms/googlefonts/Inter_Tight/300.woff	C:/Mes%20Sites%20Web/mjs2/www.markjsmith.com/_hcms/googlefonts/Inter_Tight/300.woff	(from https://www.markjsmith.com/en/home)
20:25:10	108724/108724	------	200	untouched ('')	font/woff2	etag:%22ea69f93ca9393ca5de4fb809dde15327%22	https://www.markjsmith.com/_hcms/googlefonts/Inter_Tight/500.woff2	C:/Mes%20Sites%20Web/mjs2/www.markjsmith.com/_hcms/googlefonts/Inter_Tight/500.woff2	(from https://www.markjsmith.com/en/home)
20:25:10	0/-1	---M--	307	error ('')			https://www.markjsmith.com/blog?hsLang=en	C:/Mes%20Sites%20Web/mjs2/www.markjsmith.com/blog.4ac6eb.delayed	(from https://www.markjsmith.com/en/home)
20:25:10	0/0	------	307	error ('Temporary%20Redirect')	text/html	date:Tue,%2026%20Nov%202024%2014:39:29%20GMT	https://www.markjsmith.com/blog/steve-papermaster-the-58m-debt-man?hsLang=en	C:/Mes%20Sites%20Web/mjs2/www.markjsmith.com/blog/steve-papermaster-the-58m-debt-man.4dc6eb.delayed	(from https://www.markjsmith.com/en/home)
20:25:10	140132/140132	------	200	untouched ('')	font/woff	etag:%2274b7279baaeb31708ecbc88148bd3536%22	https://www.markjsmith.com/_hcms/googlefonts/Inter_Tight/500.woff	C:/Mes%20Sites%20Web/mjs2/www.markjsmith.com/_hcms/googlefonts/Inter_Tight/500.woff	(from https://www.markjsmith.com/en/home)
20:25:10	104716/104716	------	200	untouched ('')	font/woff2	etag:%2280b295d43ad6c19d6ae61c758a9cf30e%22	https://www.markjsmith.com/_hcms/googlefonts/Inter_Tight/regular.woff2	C:/Mes%20Sites%20Web/mjs2/www.markjsmith.com/_hcms/googlefonts/Inter_Tight/regular.woff2	(from https://www.markjsmith.com/en/home)
20:25:10	135068/135068	------	200	untouched ('')	font/woff	etag:%22d837c62b71c9dd8351c7daf194e4fed3%22	https://www.markjsmith.com/_hcms/googlefonts/Inter_Tight/regular.woff	C:/Mes%20Sites%20Web/mjs2/www.markjsmith.com/_hcms/googlefonts/Inter_Tight/regular.woff	(from https://www.markjsmith.com/en/home)
20:25:10	109288/109288	------	200	untouched ('')	font/woff2	etag:%228fccbf332095c70354432001329a5b44%22	https://www.markjsmith.com/_hcms/googlefonts/Inter_Tight/700.woff2	C:/Mes%20Sites%20Web/mjs2/www.markjsmith.com/_hcms/googlefonts/Inter_Tight/700.woff2	(from https://www.markjsmith.com/en/home)
